"tip","ass_bid","ass_tid"
"cnt","102","13"
"cnt","102","11"
"cnt","102","6"
"cnt","103","5"
"cnt","103","6"
"cnt","103","11"
"cnt","103","13"
"cnt","103","14"
"cnt","104","5"
"cnt","104","6"
"cnt","104","11"
"cnt","104","13"
"cnt","104","14"
"cnt","105","5"
"cnt","105","6"
"cnt","105","11"
"cnt","105","13"
"cnt","105","14"
"cnt","106","5"
"cnt","106","6"
"cnt","106","11"
"cnt","106","13"
"cnt","106","14"
"cnt","107","14"
"cnt","107","13"
"cnt","107","11"
"cnt","107","6"
"cnt","107","5"
"cnt","108","14"
"cnt","108","13"
"cnt","108","11"
"cnt","108","6"
"cnt","108","5"
"cnt","109","14"
"cnt","109","13"
"cnt","109","11"
"cnt","109","6"
"cnt","109","5"
"obj","109","110"
"cnt","110","14"
"cnt","110","13"
"cnt","110","11"
"cnt","110","6"
"cnt","110","5"
"cnt","111","6"
"cnt","111","11"
"cnt","111","13"
"cnt","111","5"
"cnt","111","14"
"cnt","112","13"
"cnt","112","11"
"cnt","112","6"
"cnt","112","5"
"cnt","112","14"
"cnt","113","14"
"cnt","113","13"
"cnt","113","11"
"cnt","113","6"
"cnt","113","5"
"cnt","114","14"
"cnt","114","13"
"cnt","114","11"
"cnt","114","6"
"cnt","114","5"
"cnt","115","14"
"cnt","115","13"
"cnt","115","12"
"cnt","115","6"
"cnt","115","5"
"cnt","116","14"
"cnt","116","13"
"cnt","116","12"
"cnt","116","11"
"cnt","116","6"
"obj","116","54"
"cnt","117","13"
"cnt","117","14"
"cnt","117","5"
"cnt","117","6"
"cnt","117","11"
"obj","118","117"
"cnt","118","14"
"cnt","118","13"
"cnt","118","11"
"cnt","118","6"
"cnt","118","5"
"obj","117","118"
"cnt","119","5"
"cnt","119","6"
"cnt","119","11"
"cnt","119","13"
"cnt","119","14"
"cnt","626","6"
"cnt","625","6"
"cnt","625","11"
"cnt","625","13"
"cnt","625","14"
"obj","625","574"
"cnt","121","5"
"cnt","121","6"
"cnt","121","11"
"cnt","121","13"
"cnt","121","14"
"cnt","122","14"
"cnt","122","13"
"cnt","122","12"
"cnt","122","11"
"cnt","122","6"
"cnt","122","5"
"cnt","123","14"
"cnt","123","13"
"cnt","123","12"
"cnt","123","11"
"cnt","123","6"
"cnt","123","5"
"cnt","124","5"
"cnt","124","6"
"cnt","124","11"
"cnt","124","13"
"cnt","124","14"
"cnt","125","14"
"cnt","125","13"
"cnt","125","11"
"cnt","125","6"
"cnt","125","5"
"cnt","126","5"
"cnt","126","6"
"cnt","126","11"
"cnt","126","12"
"cnt","126","13"
"cnt","126","14"
"cnt","127","5"
"cnt","127","6"
"cnt","127","11"
"cnt","127","13"
"cnt","127","14"
"cnt","128","14"
"cnt","128","13"
"cnt","128","11"
"cnt","128","6"
"cnt","128","5"
"cnt","129","14"
"cnt","129","13"
"cnt","129","11"
"cnt","129","6"
"cnt","129","5"
"cnt","130","14"
"cnt","130","13"
"cnt","130","11"
"cnt","130","6"
"cnt","130","5"
"cnt","131","5"
"cnt","131","6"
"cnt","131","11"
"cnt","131","13"
"cnt","131","14"
"cnt","132","14"
"cnt","132","13"
"cnt","132","11"
"cnt","132","6"
"cnt","132","5"
"cnt","133","5"
"cnt","133","6"
"cnt","133","11"
"cnt","133","13"
"cnt","133","14"
"cnt","134","14"
"cnt","134","13"
"cnt","134","11"
"cnt","134","6"
"cnt","134","5"
"cnt","135","14"
"cnt","135","13"
"cnt","135","11"
"cnt","135","6"
"cnt","135","5"
"cnt","136","14"
"cnt","136","13"
"cnt","136","11"
"cnt","136","6"
"cnt","136","5"
"cnt","137","14"
"cnt","137","13"
"cnt","137","11"
"cnt","137","6"
"cnt","137","5"
"cnt","138","14"
"cnt","138","13"
"cnt","138","11"
"cnt","138","6"
"cnt","138","5"
"cnt","140","5"
"cnt","140","6"
"cnt","140","11"
"cnt","140","13"
"cnt","140","14"
"cnt","143","5"
"cnt","143","6"
"cnt","143","11"
"cnt","143","13"
"cnt","143","14"
"cnt","144","5"
"cnt","144","6"
"cnt","144","11"
"cnt","144","13"
"cnt","144","14"
"cnt","145","14"
"cnt","145","13"
"cnt","145","11"
"cnt","145","6"
"cnt","145","5"
"cnt","147","14"
"cnt","147","13"
"cnt","147","11"
"cnt","147","6"
"cnt","147","5"
"cnt","148","5"
"cnt","148","6"
"cnt","148","11"
"cnt","148","13"
"cnt","148","14"
"cnt","150","5"
"cnt","150","6"
"cnt","150","11"
"cnt","150","13"
"cnt","150","14"
"cnt","151","5"
"cnt","151","6"
"cnt","151","11"
"cnt","151","13"
"cnt","151","14"
"cnt","152","14"
"cnt","152","13"
"cnt","152","11"
"cnt","152","6"
"cnt","152","5"
"cnt","153","5"
"cnt","153","6"
"cnt","153","11"
"cnt","153","13"
"cnt","153","14"
"cnt","154","5"
"cnt","154","6"
"cnt","154","11"
"cnt","154","13"
"cnt","154","14"
"cnt","155","14"
"cnt","155","13"
"cnt","155","11"
"cnt","155","6"
"cnt","155","5"
"cnt","156","14"
"cnt","156","13"
"cnt","156","11"
"cnt","156","6"
"cnt","156","5"
"cnt","157","5"
"cnt","157","6"
"cnt","157","11"
"cnt","157","13"
"cnt","157","14"
"cnt","158","14"
"cnt","158","13"
"cnt","158","11"
"cnt","158","6"
"cnt","158","5"
"cnt","159","5"
"cnt","159","6"
"cnt","159","11"
"cnt","159","13"
"cnt","159","14"
"cnt","160","5"
"cnt","160","6"
"cnt","160","11"
"cnt","160","13"
"cnt","160","14"
"cnt","161","14"
"cnt","161","13"
"cnt","161","11"
"cnt","161","6"
"cnt","161","5"
"cnt","162","5"
"cnt","162","6"
"cnt","162","11"
"cnt","162","13"
"cnt","162","14"
"cnt","163","5"
"cnt","163","6"
"cnt","163","11"
"cnt","163","13"
"cnt","163","14"
"cnt","164","14"
"cnt","164","13"
"cnt","164","11"
"cnt","164","6"
"cnt","164","5"
"cnt","165","5"
"cnt","165","6"
"cnt","165","11"
"cnt","165","13"
"cnt","165","14"
"cnt","166","14"
"cnt","166","13"
"cnt","166","11"
"cnt","166","6"
"cnt","166","5"
"cnt","167","5"
"cnt","167","6"
"cnt","167","11"
"cnt","167","13"
"cnt","167","14"
"cnt","169","14"
"cnt","169","13"
"cnt","169","11"
"cnt","169","6"
"cnt","169","5"
"cnt","171","5"
"cnt","171","6"
"cnt","171","11"
"cnt","171","13"
"cnt","171","14"
"cnt","172","5"
"cnt","172","14"
"cnt","172","13"
"cnt","172","11"
"cnt","172","6"
"cnt","173","5"
"cnt","173","6"
"cnt","173","11"
"cnt","173","13"
"cnt","173","14"
"cnt","174","14"
"cnt","174","13"
"cnt","174","11"
"cnt","174","6"
"cnt","174","5"
"cnt","175","5"
"cnt","175","6"
"cnt","175","11"
"cnt","175","13"
"cnt","175","14"
"cnt","176","5"
"cnt","176","6"
"cnt","176","11"
"cnt","176","13"
"cnt","176","14"
"cnt","177","5"
"cnt","177","6"
"cnt","177","11"
"cnt","177","13"
"cnt","177","14"
"cnt","179","13"
"cnt","179","11"
"cnt","179","6"
"cnt","179","5"
"obj","179","180"
"cnt","180","14"
"cnt","180","13"
"cnt","180","11"
"cnt","180","6"
"cnt","180","5"
"obj","180","179"
"cnt","179","14"
"cnt","181","5"
"cnt","181","6"
"cnt","181","11"
"cnt","181","13"
"cnt","181","14"
"cnt","182","14"
"cnt","182","5"
"cnt","182","6"
"cnt","182","11"
"cnt","182","13"
"obj","183","182"
"cnt","183","5"
"cnt","183","6"
"cnt","183","11"
"cnt","183","13"
"cnt","183","14"
"obj","182","183"
"cnt","184","5"
"cnt","184","11"
"cnt","184","13"
"cnt","184","14"
"cnt","184","6"
"cnt","185","5"
"cnt","185","6"
"cnt","185","11"
"cnt","185","13"
"cnt","185","14"
"cnt","186","5"
"cnt","186","6"
"cnt","186","11"
"cnt","186","13"
"cnt","186","14"
"cnt","187","13"
"cnt","187","11"
"cnt","187","6"
"cnt","187","5"
"cnt","187","14"
"cnt","188","14"
"cnt","188","13"
"cnt","188","11"
"cnt","188","6"
"cnt","188","5"
"obj","188","187"
"obj","187","188"
"cnt","189","14"
"cnt","189","13"
"cnt","189","6"
"cnt","189","5"
"cnt","189","11"
"cnt","190","14"
"cnt","190","5"
"cnt","190","6"
"cnt","190","11"
"cnt","190","13"
"obj","190","189"
"obj","190","179"
"cnt","191","5"
"cnt","191","6"
"cnt","191","11"
"cnt","191","13"
"cnt","191","14"
"obj","191","190"
"obj","191","189"
"obj","191","179"
"obj","189","179"
"obj","189","191"
"obj","189","190"
"obj","190","191"
"obj","192","188"
"obj","192","187"
"obj","192","171"
"obj","192","172"
"cnt","192","5"
"cnt","192","6"
"cnt","192","11"
"cnt","192","13"
"cnt","192","14"
"obj","193","188"
"obj","193","187"
"obj","193","171"
"obj","193","172"
"cnt","193","5"
"cnt","193","6"
"cnt","193","11"
"cnt","193","13"
"cnt","193","14"
"cnt","194","5"
"cnt","194","6"
"cnt","194","11"
"cnt","194","13"
"cnt","194","14"
"cnt","195","14"
"cnt","195","13"
"cnt","195","11"
"cnt","195","6"
"cnt","195","5"
"cnt","196","14"
"cnt","196","13"
"cnt","196","11"
"cnt","196","6"
"cnt","196","5"
"cnt","197","14"
"cnt","197","13"
"cnt","197","11"
"cnt","197","6"
"cnt","197","5"
"cnt","198","14"
"cnt","198","13"
"cnt","198","11"
"cnt","198","6"
"cnt","198","5"
"cnt","199","14"
"cnt","199","13"
"cnt","199","11"
"cnt","199","6"
"cnt","199","5"
"obj","199","74"
"obj","199","2"
"obj","199","71"
"cnt","201","14"
"cnt","200","5"
"cnt","200","6"
"cnt","200","11"
"cnt","200","13"
"cnt","200","14"
"obj","200","34"
"obj","200","108"
"obj","200","121"
"obj","625","348"
"obj","200","127"
"cnt","201","13"
"cnt","201","12"
"cnt","201","11"
"cnt","201","6"
"cnt","201","5"
"cnt","202","5"
"cnt","202","6"
"cnt","202","11"
"cnt","202","12"
"cnt","202","13"
"cnt","202","14"
"cnt","203","14"
"cnt","203","13"
"cnt","203","11"
"cnt","203","6"
"cnt","203","5"
"cnt","204","5"
"cnt","204","6"
"cnt","204","11"
"cnt","204","13"
"cnt","204","14"
"cnt","205","5"
"cnt","205","6"
"cnt","205","11"
"cnt","205","13"
"cnt","205","14"
"cnt","206","5"
"cnt","206","6"
"cnt","206","11"
"cnt","206","13"
"cnt","206","14"
"obj","207","204"
"cnt","207","5"
"cnt","207","6"
"cnt","207","11"
"cnt","207","13"
"cnt","207","14"
"cnt","208","14"
"cnt","208","13"
"cnt","208","11"
"cnt","208","6"
"cnt","208","5"
"cnt","209","14"
"cnt","209","13"
"cnt","209","11"
"cnt","209","6"
"cnt","209","5"
"cnt","210","5"
"cnt","210","6"
"cnt","210","11"
"cnt","210","13"
"cnt","210","14"
"cnt","211","5"
"cnt","211","6"
"cnt","211","11"
"cnt","211","13"
"cnt","211","14"
"cnt","212","5"
"cnt","212","6"
"cnt","212","11"
"cnt","212","13"
"cnt","212","14"
"cnt","213","5"
"cnt","213","6"
"cnt","213","11"
"cnt","213","13"
"cnt","213","14"
"cnt","214","5"
"cnt","214","6"
"cnt","214","11"
"cnt","214","13"
"cnt","214","14"
"cnt","215","14"
"cnt","215","13"
"cnt","215","11"
"cnt","215","6"
"cnt","215","5"
"cnt","216","14"
"cnt","216","5"
"cnt","216","6"
"cnt","216","11"
"cnt","216","13"
"cnt","218","14"
"cnt","218","13"
"cnt","218","11"
"cnt","218","6"
"cnt","218","5"
"obj","218","216"
"obj","216","218"
"cnt","219","5"
"cnt","219","6"
"cnt","219","11"
"cnt","219","13"
"cnt","219","14"
"cnt","220","14"
"cnt","220","13"
"cnt","220","11"
"cnt","220","6"
"cnt","220","5"
"cnt","221","5"
"cnt","221","6"
"cnt","221","11"
"cnt","221","13"
"cnt","221","14"
"cnt","222","5"
"cnt","222","6"
"cnt","222","11"
"cnt","222","13"
"cnt","222","14"
"cnt","223","5"
"cnt","223","6"
"cnt","223","11"
"cnt","223","13"
"cnt","223","14"
"cnt","224","5"
"cnt","224","6"
"cnt","224","11"
"cnt","224","13"
"cnt","224","14"
"obj","225","123"
"cnt","225","14"
"cnt","225","13"
"cnt","225","12"
"cnt","225","11"
"cnt","225","6"
"cnt","225","5"
"obj","226","122"
"obj","226","126"
"cnt","226","5"
"cnt","226","6"
"cnt","226","11"
"cnt","226","13"
"cnt","226","14"
"obj","227","126"
"obj","227","122"
"obj","227","225"
"obj","227","226"
"cnt","227","5"
"cnt","227","6"
"cnt","227","11"
"cnt","227","13"
"cnt","227","14"
"obj","228","122"
"obj","228","123"
"obj","228","126"
"cnt","228","5"
"cnt","228","6"
"cnt","228","11"
"cnt","228","13"
"cnt","228","14"
"cnt","228","12"
"cnt","435","5"
"cnt","449","5"
"cnt","439","14"
"cnt","439","13"
"cnt","439","12"
"obj","232","132"
"obj","232","131"
"obj","232","130"
"obj","232","58"
"obj","233","58"
"obj","233","130"
"obj","233","131"
"obj","233","132"
"obj","234","71"
"obj","234","72"
"obj","234","74"
"obj","234","49"
"obj","234","141"
"obj","234","143"
"obj","234","144"
"cnt","236","11"
"cnt","236","6"
"cnt","236","5"
"obj","236","71"
"obj","236","74"
"obj","236","2"
"cnt","235","14"
"cnt","235","13"
"cnt","235","11"
"cnt","235","6"
"cnt","235","5"
"obj","235","49"
"obj","235","72"
"obj","235","62"
"obj","235","63"
"obj","235","64"
"cnt","236","13"
"cnt","236","14"
"obj","237","169"
"obj","243","164"
"obj","244","243"
"obj","244","164"
"obj","303","121"
"obj","303","122"
"cnt","624","6"
"obj","304","121"
"obj","304","122"
"obj","304","303"
"cnt","624","11"
"obj","305","121"
"obj","305","122"
"obj","305","303"
"cnt","316","14"
"cnt","316","13"
"cnt","316","11"
"cnt","316","6"
"cnt","316","5"
"cnt","317","14"
"cnt","317","13"
"cnt","317","11"
"cnt","317","6"
"cnt","317","5"
"cnt","333","13"
"cnt","333","14"
"cnt","335","6"
"cnt","335","13"
"cnt","335","14"
"cnt","336","6"
"cnt","336","13"
"cnt","336","14"
"cnt","337","13"
"cnt","337","14"
"cnt","338","6"
"cnt","338","13"
"cnt","338","14"
"cnt","339","14"
"cnt","339","13"
"cnt","339","12"
"cnt","339","11"
"cnt","339","5"
"obj","339","118"
"obj","339","117"
"obj","117","339"
"cnt","340","14"
"cnt","340","13"
"cnt","340","11"
"cnt","340","6"
"cnt","340","5"
"cnt","341","5"
"cnt","341","14"
"cnt","341","13"
"cnt","343","5"
"cnt","343","13"
"cnt","343","14"
"cnt","344","14"
"cnt","344","13"
"cnt","344","5"
"cnt","345","12"
"cnt","345","13"
"cnt","345","14"
"cnt","345","6"
"cnt","345","5"
"cnt","346","14"
"cnt","346","13"
"cnt","346","5"
"cnt","347","14"
"cnt","347","13"
"cnt","347","11"
"cnt","347","6"
"obj","347","72"
"obj","347","71"
"obj","347","75"
"obj","347","2"
"cnt","348","14"
"cnt","348","13"
"cnt","348","12"
"cnt","348","11"
"cnt","348","6"
"cnt","348","5"
"obj","348","61"
"obj","61","348"
"cnt","349","6"
"obj","349","49"
"obj","349","45"
"obj","349","39"
"obj","349","35"
"cnt","457","5"
"cnt","350","14"
"cnt","350","13"
"cnt","350","5"
"cnt","350","6"
"cnt","350","11"
"cnt","350","12"
"cnt","351","6"
"cnt","351","14"
"cnt","351","13"
"cnt","352","13"
"cnt","352","12"
"cnt","352","11"
"cnt","352","6"
"cnt","352","14"
"cnt","353","13"
"cnt","353","14"
"cnt","354","14"
"cnt","354","13"
"cnt","354","5"
"cnt","355","13"
"cnt","355","14"
"cnt","356","11"
"cnt","356","14"
"cnt","356","13"
"cnt","356","6"
"obj","356","338"
"cnt","357","6"
"cnt","357","13"
"cnt","357","14"
"obj","357","121"
"obj","357","122"
"obj","357","126"
"cnt","624","13"
"cnt","358","6"
"cnt","358","13"
"cnt","358","14"
"obj","358","139"
"obj","358","140"
"obj","358","141"
"cnt","359","5"
"cnt","359","11"
"cnt","359","13"
"cnt","359","14"
"cnt","434","5"
"cnt","360","14"
"cnt","360","13"
"cnt","360","12"
"cnt","360","11"
"cnt","360","6"
"obj","360","122"
"obj","360","121"
"cnt","361","14"
"cnt","361","13"
"cnt","361","11"
"cnt","361","6"
"obj","362","187"
"obj","362","188"
"cnt","362","11"
"cnt","365","14"
"cnt","365","13"
"cnt","365","11"
"cnt","365","6"
"obj","365","185"
"obj","365","91"
"cnt","366","5"
"cnt","366","6"
"cnt","366","11"
"cnt","366","12"
"cnt","366","13"
"cnt","366","14"
"obj","366","34"
"obj","366","36"
"obj","366","350"
"obj","36","350"
"obj","36","34"
"obj","36","366"
"obj","350","366"
"obj","350","36"
"cnt","367","5"
"cnt","367","6"
"cnt","367","14"
"cnt","367","13"
"cnt","367","12"
"cnt","367","11"
"cnt","368","5"
"cnt","369","5"
"obj","369","461"
"cnt","370","5"
"obj","370","369"
"obj","370","368"
"cnt","371","5"
"obj","371","369"
"obj","371","368"
"cnt","372","5"
"obj","372","368"
"obj","372","369"
"obj","372","370"
"obj","372","371"
"cnt","373","5"
"cnt","375","5"
"obj","375","373"
"cnt","376","5"
"cnt","377","5"
"obj","377","373"
"obj","377","375"
"cnt","378","5"
"obj","378","373"
"obj","378","375"
"obj","378","377"
"cnt","379","5"
"obj","379","373"
"obj","379","375"
"obj","379","378"
"cnt","382","5"
"obj","382","381"
"obj","382","380"
"obj","382","378"
"obj","382","375"
"cnt","1965","14"
"cnt","1965","6"
"obj","1965","1446"
"obj","1965","334"
"cnt","385","5"
"obj","385","379"
"obj","385","380"
"obj","385","381"
"obj","385","384"
"cnt","386","5"
"cnt","386","11"
"cnt","386","13"
"cnt","386","14"
"obj","386","379"
"obj","386","380"
"obj","386","383"
"obj","386","384"
"cnt","1816","6"
"cnt","1814","6"
"cnt","1812","6"
"cnt","1812","11"
"cnt","1812","13"
"cnt","1811","27"
"cnt","1811","13"
"cnt","390","5"
"obj","390","369"
"obj","390","387"
"obj","390","388"
"obj","390","389"
"cnt","391","5"
"obj","391","388"
"obj","391","387"
"obj","391","369"
"obj","391","368"
"cnt","392","5"
"cnt","393","5"
"obj","393","401"
"cnt","394","5"
"obj","394","392"
"obj","394","393"
"cnt","395","5"
"obj","395","394"
"obj","395","393"
"obj","395","392"
"cnt","396","5"
"obj","396","395"
"obj","396","394"
"obj","396","393"
"obj","396","392"
"obj","392","396"
"obj","392","395"
"obj","392","394"
"obj","392","393"
"cnt","398","14"
"cnt","398","13"
"cnt","398","6"
"cnt","398","5"
"cnt","399","5"
"cnt","399","13"
"cnt","399","14"
"cnt","399","6"
"cnt","400","5"
"cnt","400","12"
"cnt","400","13"
"obj","368","401"
"cnt","401","5"
"obj","401","400"
"cnt","918","11"
"obj","401","458"
"cnt","402","5"
