"tip","ass_bid","ass_tid"
"cnt","741","13"
"cnt","741","27"
"obj","612","97"
"obj","612","80"
"obj","612","558"
"cnt","612","5"
"cnt","612","6"
"cnt","612","12"
"cnt","612","11"
"cnt","612","26"
"cnt","612","14"
"cnt","612","13"
"cnt","612","27"
"obj","620","539"
"obj","620","86"
"cnt","620","5"
"cnt","620","6"
"cnt","620","12"
"cnt","620","11"
"cnt","620","26"
"cnt","620","14"
"cnt","620","13"
"cnt","620","27"
"obj","687","786"
"obj","687","637"
"obj","687","8"
"cnt","687","5"
"cnt","687","6"
"cnt","687","12"
"cnt","687","11"
"cnt","687","26"
"cnt","687","14"
"cnt","687","13"
"cnt","687","27"
"cnt","808","5"
"cnt","808","6"
"cnt","808","12"
"cnt","808","11"
"cnt","808","26"
"cnt","808","14"
"cnt","808","13"
"cnt","808","27"
"cnt","569","5"
"cnt","569","6"
"cnt","569","12"
"cnt","569","11"
"cnt","569","26"
"cnt","569","14"
"cnt","569","13"
"cnt","569","27"
"obj","710","687"
"obj","710","8"
"cnt","710","5"
"cnt","710","6"
"cnt","710","12"
"cnt","710","11"
"cnt","710","26"
"cnt","710","14"
"cnt","710","13"
"cnt","710","27"
"cnt","654","5"
"cnt","654","6"
"cnt","654","12"
"cnt","654","11"
"cnt","654","26"
"cnt","654","14"
"cnt","654","13"
"cnt","654","27"
"cnt","554","14"
"cnt","554","5"
"cnt","554","12"
"cnt","554","26"
"cnt","554","27"
"cnt","541","5"
"cnt","541","6"
"cnt","541","12"
"cnt","541","11"
"cnt","541","26"
"cnt","541","14"
"cnt","541","13"
"cnt","541","27"
"obj","709","518"
"obj","709","203"
"obj","709","240"
"cnt","709","5"
"cnt","709","6"
"cnt","709","12"
"cnt","709","11"
"cnt","709","26"
"cnt","709","14"
"cnt","709","13"
"cnt","709","27"
"cnt","915","5"
"cnt","915","12"
"cnt","915","26"
"cnt","915","27"
"obj","915","10"
"obj","915","732"
"obj","915","733"
"obj","915","740"
"obj","915","180"
"obj","915","561"
"obj","915","129"
"obj","915","137"
"cnt","1837","13"
"cnt","1836","27"
"cnt","1836","13"
"cnt","1836","11"
"cnt","1836","6"
"cnt","1835","27"
"cnt","1835","13"
"cnt","1835","11"
"cnt","1835","6"
"cnt","1834","27"
"cnt","1834","13"
"cnt","1834","11"
"cnt","1834","6"
"cnt","1831","14"
"cnt","1831","13"
"cnt","1830","6"
"cnt","1830","11"
"cnt","1830","13"
"cnt","1830","27"
"cnt","1829","6"
"cnt","1829","11"
"cnt","1827","13"
"obj","910","342"
"obj","886","836"
"obj","886","343"
"obj","886","181"
"obj","886","334"
"obj","162","163"
"obj","162","317"
"obj","162","493"
"obj","162","341"
"obj","162","355"
"obj","344","155"
"obj","344","346"
"obj","344","555"
"obj","344","742"
"cnt","837","14"
"cnt","837","6"
"cnt","837","5"
"obj","837","836"
"obj","837","332"
"obj","837","316"
"obj","837","181"
"obj","837","159"
"cnt","354","6"
"obj","354","157"
"obj","354","156"
"obj","354","151"
"obj","175","356"
"obj","175","697"
"obj","175","556"
"obj","175","743"
"obj","175","753"
"obj","175","174"
"obj","175","134"
"obj","175","135"
"obj","810","487"
"obj","810","489"
"obj","810","697"
"obj","810","139"
"obj","810","140"
"obj","810","141"
"obj","810","143"
"obj","810","144"
"obj","810","336"
"obj","810","13"
"obj","810","21"
"obj","810","22"
"obj","810","500"
"obj","810","92"
"obj","810","234"
"obj","171","362"
"obj","171","193"
"obj","171","188"
"obj","171","187"
"obj","171","175"
"obj","171","753"
"obj","171","192"
"cnt","333","5"
"cnt","333","6"
"cnt","333","11"
"obj","333","492"
"obj","333","334"
"obj","333","156"
"obj","333","170"
"obj","333","316"
"obj","749","137"
"obj","749","133"
"obj","749","353"
"obj","749","338"
"obj","753","335"
"obj","753","746"
"obj","753","745"
"obj","753","488"
"obj","753","136"
"cnt","346","6"
"obj","346","337"
"obj","346","494"
"cnt","916","13"
"cnt","916","14"
"cnt","916","6"
"cnt","917","6"
"cnt","917","14"
"cnt","917","13"
"obj","918","435"
"obj","918","1096"
"obj","918","769"
"obj","918","350"
"cnt","919","6"
"cnt","919","11"
"cnt","919","13"
"cnt","919","27"
"cnt","920","6"
"cnt","920","11"
"cnt","920","13"
"cnt","920","27"
"cnt","921","27"
"cnt","921","13"
"cnt","921","14"
"cnt","921","26"
"cnt","921","11"
"cnt","921","12"
"cnt","921","6"
"cnt","922","27"
"cnt","922","13"
"cnt","922","11"
"cnt","922","6"
"cnt","923","27"
"cnt","923","13"
"cnt","923","14"
"cnt","923","11"
"cnt","923","6"
"cnt","924","6"
"cnt","924","11"
"cnt","924","14"
"cnt","924","13"
"cnt","925","6"
"cnt","925","14"
"cnt","925","13"
"cnt","926","27"
"cnt","926","13"
"cnt","926","14"
"cnt","926","11"
"cnt","926","6"
"cnt","928","27"
"cnt","928","13"
"cnt","928","11"
"cnt","928","6"
"cnt","930","27"
"cnt","930","13"
"cnt","930","11"
"cnt","930","6"
"cnt","932","6"
"cnt","932","11"
"cnt","932","14"
"cnt","932","13"
"cnt","933","6"
"cnt","933","11"
"cnt","933","14"
"cnt","933","13"
"cnt","935","6"
"cnt","935","11"
"cnt","935","14"
"cnt","935","13"
"cnt","936","13"
"cnt","936","14"
"cnt","936","11"
"cnt","936","6"
"cnt","937","6"
"obj","937","941"
"obj","937","153"
"obj","937","774"
"cnt","938","27"
"cnt","938","13"
"cnt","938","11"
"cnt","938","6"
